Faculty_ID,First_Name,Last_Name,Full_Name,Gender,Department_ID,Program,Designation,Qualification,Experience_Years,Joining_Year,Email,Phone,Is_HOD
FAC049,Gaurangi,Batra,Gaurangi Batra,Female,IT,B.Tech,Assistant Professor,M.Tech,10,2016,gaurangi.batra@cpit.edu.in,9302330266,No
FAC050,Michael,Atwal,Michael Atwal,Female,IT,B.Tech,Assistant Professor,PhD,17,2009,michael.atwal@cpit.edu.in,9279422897,No
FAC051,Zilmil,Konda,Zilmil Konda,Male,IT,B.Tech,Assistant Professor,M.Tech,29,1997,zilmil.konda@cpit.edu.in,6635423730,No
FAC052,Brijesh,Lal,Brijesh Lal,Male,IT,B.Tech,Assistant Professor,M.Tech,29,1997,brijesh.lal@cpit.edu.in,9225617446,No
FAC053,Sanya,Tara,Sanya Tara,Male,IT,B.Tech,Professor,PhD,25,2001,sanya.tara@cpit.edu.in,7637111426,No
FAC054,Divya,Chowdhury,Divya Chowdhury,Female,IT,B.Tech,Assistant Professor,PhD,19,2007,divya.chowdhury@cpit.edu.in,9118648178,No
FAC055,Tanveer,Bali,Tanveer Bali,Female,IT,B.Tech,Professor,PhD,1,2025,tanveer.bali@cpit.edu.in,8192541069,Yes
FAC056,Omaja,Palla,Omaja Palla,Female,IT,B.Tech,Assistant Professor,M.Tech,16,2010,omaja.palla@cpit.edu.in,6614698975,No
FAC057,Netra,Wadhwa,Netra Wadhwa,Male,ECE,B.Tech,Assistant Professor,PhD,23,2003,netra.wadhwa@cpit.edu.in,9260372621,No
FAC058,Maya,Mannan,Maya Mannan,Male,ECE,B.Tech,Assistant Professor,M.Tech,24,2002,maya.mannan@cpit.edu.in,6206326800,No
FAC059,Hardik,Chaudhuri,Hardik Chaudhuri,Female,ECE,B.Tech,Assistant Professor,PhD,14,2012,hardik.chaudhuri@cpit.edu.in,7824942553,No
FAC060,Saksham,Narasimhan,Saksham Narasimhan,Female,ECE,B.Tech,Associate Professor,PhD,27,1999,saksham.narasimhan@cpit.edu.in,8959999571,No
FAC061,Sarthak,Khare,Sarthak Khare,Male,ECE,B.Tech,Assistant Professor,PhD,12,2014,sarthak.khare@cpit.edu.in,8887901075,No
FAC062,Nidra,Sama,Nidra Sama,Female,ECE,B.Tech,Assistant Professor,PhD,7,2019,nidra.sama@cpit.edu.in,7294130833,No
FAC063,Tara,Trivedi,Tara Trivedi,Female,ECE,B.Tech,Assistant Professor,M.Tech,14,2012,tara.trivedi@cpit.edu.in,9524973173,No
FAC064,Edhitha,Purohit,Edhitha Purohit,Female,ECE,B.Tech,Assistant Professor,M.Tech,13,2013,edhitha.purohit@cpit.edu.in,9669655684,No
FAC065,Oni,Mander,Oni Mander,Female,ECE,B.Tech,Associate Professor,M.Tech,8,2018,oni.mander@cpit.edu.in,6809168607,No
FAC066,Ekaraj,Balasubramanian,Ekaraj Balasubramanian,Male,ECE,B.Tech,Assistant Professor,PhD,16,2010,ekaraj.balasubramanian@cpit.edu.in,6411434088,No
FAC067,Tara,Anand,Tara Anand,Female,ECE,B.Tech,Assistant Professor,PhD,24,2002,tara.anand@cpit.edu.in,8842033194,No
FAC068,Jackson,De,Jackson De,Male,ECE,B.Tech,Assistant Professor,PhD,9,2017,jackson.de@cpit.edu.in,8069442210,No
FAC069,Meera,Bahl,Meera Bahl,Male,ECE,B.Tech,Assistant Professor,M.Tech,21,2005,meera.bahl@cpit.edu.in,8706531507,No
FAC070,Vrishti,Dass,Vrishti Dass,Male,ECE,B.Tech,Professor,M.Tech,6,2020,vrishti.dass@cpit.edu.in,6658470140,Yes
FAC071,Ishani,Nadkarni,Ishani Nadkarni,Female,ECE,B.Tech,Assistant Professor,PhD,25,2001,ishani.nadkarni@cpit.edu.in,8398234164,No
FAC072,Shravya,Parekh,Shravya Parekh,Female,ECE,B.Tech,Associate Professor,M.Tech,11,2015,shravya.parekh@cpit.edu.in,9284445507,No
FAC073,Manthan,Guha,Manthan Guha,Male,EEE,B.Tech,Associate Professor,M.Tech,14,2012,manthan.guha@cpit.edu.in,7598328407,Yes
FAC074,Yashasvi,Ray,Yashasvi Ray,Female,EEE,B.Tech,Assistant Professor,M.Tech,7,2019,yashasvi.ray@cpit.edu.in,6195362806,No
FAC075,Utkarsh,Prabhu,Utkarsh Prabhu,Male,EEE,B.Tech,Assistant Professor,PhD,22,2004,utkarsh.prabhu@cpit.edu.in,8038734731,No
FAC076,Turvi,Bera,Turvi Bera,Female,EEE,B.Tech,Associate Professor,M.Tech,28,1998,turvi.bera@cpit.edu.in,6481503413,No
FAC077,Bhavya,Sathe,Bhavya Sathe,Female,EEE,B.Tech,Assistant Professor,M.Tech,22,2004,bhavya.sathe@cpit.edu.in,7371039368,No
FAC078,Geetika,Keer,Geetika Keer,Male,EEE,B.Tech,Assistant Professor,M.Tech,11,2015,geetika.keer@cpit.edu.in,8387791216,No
FAC079,Logan,Brar,Logan Brar,Male,EEE,B.Tech,Associate Professor,M.Tech,14,2012,logan.brar@cpit.edu.in,9646206781,No
FAC080,Ojas,Chacko,Ojas Chacko,Male,EEE,B.Tech,Assistant Professor,M.Tech,7,2019,ojas.chacko@cpit.edu.in,7740040324,No
FAC081,Yash,Sibal,Yash Sibal,Male,EEE,B.Tech,Assistant Professor,PhD,4,2022,yash.sibal@cpit.edu.in,8296037490,No
FAC082,Unnati,Chahal,Unnati Chahal,Male,EEE,B.Tech,Assistant Professor,PhD,10,2016,unnati.chahal@cpit.edu.in,6653677271,No
FAC083,Luke,Nazareth,Luke Nazareth,Female,BBA,BBA,Assistant Professor,MBA,12,2014,luke.nazareth@cpit.edu.in,9853646230,No
FAC084,Guneet,Nagar,Guneet Nagar,Female,BBA,BBA,Assistant Professor,PhD,18,2008,guneet.nagar@cpit.edu.in,6652206560,No
FAC085,Bhanumati,Halder,Bhanumati Halder,Female,BBA,BBA,Assistant Professor,MBA,12,2014,bhanumati.halder@cpit.edu.in,6762960690,No
FAC086,Umang,Patel,Umang Patel,Male,BBA,BBA,Assistant Professor,PhD,20,2006,umang.patel@cpit.edu.in,8164377509,No
FAC087,Meghana,Char,Meghana Char,Male,BBA,BBA,Assistant Professor,PhD,29,1997,meghana.char@cpit.edu.in,9782471048,No
FAC088,Zarna,Mallick,Zarna Mallick,Female,BBA,BBA,Associate Professor,MBA,17,2009,zarna.mallick@cpit.edu.in,9297909422,Yes
FAC089,Aarav,Zachariah,Aarav Zachariah,Female,BBA,BBA,Assistant Professor,MBA,11,2015,aarav.zachariah@cpit.edu.in,9528911165,No
FAC090,Yutika,Mohanty,Yutika Mohanty,Female,BBA,BBA,Assistant Professor,PhD,11,2015,yutika.mohanty@cpit.edu.in,8601220534,No
FAC091,Oviya,Bhatia,Oviya Bhatia,Female,BBA,BBA,Assistant Professor,PhD,20,2006,oviya.bhatia@cpit.edu.in,6846435391,No
FAC092,Harita,Mammen,Harita Mammen,Female,BBA,BBA,Assistant Professor,PhD,15,2011,harita.mammen@cpit.edu.in,9119571649,No
FAC093,Laban,Bhagat,Laban Bhagat,Male,BBA,BBA,Assistant Professor,MBA,1,2025,laban.bhagat@cpit.edu.in,9456783042,No
FAC094,Wahab,Keer,Wahab Keer,Male,BBA,BBA,Assistant Professor,MBA,6,2020,wahab.keer@cpit.edu.in,7380773939,No
FAC095,William,Sane,William Sane,Female,MBA,MBA,Professor,MBA,11,2015,william.sane@cpit.edu.in,6703767950,Yes
FAC096,Bakhshi,Dubey,Bakhshi Dubey,Male,MBA,MBA,Assistant Professor,MBA,8,2018,bakhshi.dubey@cpit.edu.in,9087169942,No
FAC097,Nathan,Ratti,Nathan Ratti,Female,MBA,MBA,Assistant Professor,MBA,18,2008,nathan.ratti@cpit.edu.in,6029799846,No
FAC098,Jackson,Kala,Jackson Kala,Female,MBA,MBA,Assistant Professor,PhD,29,1997,jackson.kala@cpit.edu.in,6666556849,No
FAC099,Theodore,Sinha,Theodore Sinha,Female,MBA,MBA,Assistant Professor,MBA,14,2012,theodore.sinha@cpit.edu.in,6901139343,No
FAC100,Aashi,Nagarajan,Aashi Nagarajan,Male,MBA,MBA,Assistant Professor,PhD,25,2001,aashi.nagarajan@cpit.edu.in,9529424824,No
FAC101,Ishita,Sur,Ishita Sur,Male,MBA,MBA,Professor,PhD,2,2024,ishita.sur@cpit.edu.in,6115763585,No
FAC102,Banjeet,Cherian,Banjeet Cherian,Male,MBA,MBA,Assistant Professor,PhD,13,2013,banjeet.cherian@cpit.edu.in,8887218035,No
FAC103,Widisha,Babu,Widisha Babu,Male,MBA,MBA,Associate Professor,MBA,20,2006,widisha.babu@cpit.edu.in,8515895190,No
FAC104,Widisha,Mahal,Widisha Mahal,Female,MBA,MBA,Assistant Professor,PhD,12,2014,widisha.mahal@cpit.edu.in,9657453800,No
