Transaction_ID,Student_ID,Student_Name,Book_ID,Book_Title,Issue_Date,Due_Date,Return_Date,Fine_Amount,Status
LIB035,STU0050,Gayathri Deshmukh,BK098,Introduction to Cyber Security,2026-05-10,2026-05-24,2026-05-27,30,Returned
LIB036,STU0050,Gayathri Deshmukh,BK246,Operations Management Concepts,2026-03-05,2026-03-19,2026-04-02,140,Returned
LIB037,STU0054,Qasim Dugar,BK252,Fundamentals of HR Management,2026-04-01,2026-04-15,,500,Overdue
LIB038,STU0054,Qasim Dugar,BK258,Fundamentals of Business Communication,2026-06-18,2026-07-02,,210,Overdue
LIB039,STU0054,Qasim Dugar,BK060,Fundamentals of Java Programming,2026-04-11,2026-04-25,2026-06-13,490,Returned
LIB040,STU0056,Hiral Mahajan,BK216,Business Analytics Concepts,2026-04-04,2026-04-18,2026-07-20,500,Returned
LIB041,STU0056,Hiral Mahajan,BK265,Advanced International Business,2026-06-17,2026-07-01,2026-06-17,0,Returned
LIB042,STU0057,Arjun Karan,BK034,Environmental Studies Essentials,2026-04-02,2026-04-16,2026-05-08,220,Returned
LIB043,STU0057,Arjun Karan,BK176,Financial Management,2026-02-04,2026-02-18,2026-03-09,190,Returned
LIB044,STU0058,Zaitra Chandran,BK179,Operations Management Concepts,2026-03-23,2026-04-06,2026-05-29,500,Returned
LIB045,STU0058,Zaitra Chandran,BK236,Marketing Management,2026-04-18,2026-05-02,2026-05-19,170,Returned
LIB046,STU0058,Zaitra Chandran,BK221,Managerial Economics Concepts,2026-02-10,2026-02-24,2026-04-16,500,Returned
LIB047,STU0060,Yachana Chahal,BK208,Strategic Management Concepts,2026-04-28,2026-05-12,,500,Overdue
LIB048,STU0060,Yachana Chahal,BK211,Supply Chain Management Concepts,2026-05-17,2026-05-31,2026-06-09,90,Returned
LIB049,STU0060,Yachana Chahal,BK158,Business Law Concepts,2026-05-02,2026-05-16,2026-05-30,140,Returned
LIB050,STU0061,Girish Palla,BK043,DBMS,2026-04-16,2026-04-30,2026-07-16,500,Returned
LIB051,STU0062,Jackson Shukla,BK247,Fundamentals of Operations Management,2026-03-02,2026-03-16,2026-03-08,0,Returned
LIB052,STU0062,Jackson Shukla,BK083,Machine Learning Essentials,2026-06-15,2026-06-29,2026-06-23,0,Returned
LIB053,STU0062,Jackson Shukla,BK217,Project Management,2026-05-16,2026-05-30,2026-05-21,0,Returned
LIB054,STU0064,Arin Ghose,BK129,Fundamentals of Business Communication,2026-06-04,2026-06-18,2026-06-05,0,Returned
LIB055,STU0067,Gauri Borah,BK262,Introduction to Strategic Management,2026-04-07,2026-04-21,2026-06-20,500,Returned
LIB056,STU0067,Gauri Borah,BK172,Human Resource Management Concepts,2026-04-09,2026-04-23,2026-05-27,340,Returned
LIB057,STU0067,Gauri Borah,BK032,Digital Electronics Essentials,2026-03-09,2026-03-23,,500,Overdue
LIB058,STU0068,Raagini Minhas,BK171,Advanced Human Resource Management,2026-06-29,2026-07-13,,100,Overdue
LIB059,STU0068,Raagini Minhas,BK041,Advanced DBMS,2026-03-24,2026-04-07,2026-05-27,500,Returned
LIB060,STU0070,Bhavya Bail,BK193,Advanced International Business,2026-04-03,2026-04-17,2026-07-18,500,Returned
LIB061,STU0070,Bhavya Bail,BK099,Cyber Security Essentials,2026-07-02,2026-07-16,2026-07-19,30,Returned
LIB062,STU0070,Bhavya Bail,BK239,Advanced Business Statistics,2026-02-01,2026-02-15,2026-06-09,500,Returned
LIB063,STU0072,Praneel Atwal,BK215,Introduction to Business Analytics,2026-04-22,2026-05-06,2026-05-20,140,Returned
LIB064,STU0072,Praneel Atwal,BK031,Introduction to Digital Electronics,2026-03-16,2026-03-30,2026-05-20,500,Returned
LIB065,STU0072,Praneel Atwal,BK111,Mobile Computing,2026-04-01,2026-04-15,2026-06-03,490,Returned
LIB066,STU0073,Xavier Bedi,BK148,Advanced Computer Fundamentals,2026-03-01,2026-03-15,,500,Overdue
LIB067,STU0073,Xavier Bedi,BK096,Introduction to Cloud Computing,2026-03-29,2026-04-12,2026-05-20,380,Returned
LIB068,STU0074,Maya Sheth,BK050,Computer Networks Essentials,2026-02-04,2026-02-18,2026-06-05,500,Returned
LIB069,STU0075,Ekalinga Din,BK070,Web Technologies Concepts,2026-01-28,2026-02-11,,500,Overdue
LIB070,STU0079,Ikbal Sridhar,BK121,Blockchain Essentials,2026-03-06,2026-03-20,2026-05-25,500,Returned
LIB071,STU0082,Harita Sawhney,BK053,Introduction to Discrete Mathematics,2026-03-03,2026-03-17,2026-03-05,0,Returned
LIB072,STU0083,Zayan Walia,BK141,Business Mathematics,2026-01-25,2026-02-08,2026-03-15,350,Returned
LIB073,STU0085,Karan Sridhar,BK253,Introduction to Business Analytics,2026-03-31,2026-04-14,2026-05-14,300,Returned
LIB074,STU0087,Kritika Basak,BK067,Advanced Design & Analysis of Algorithms,2026-06-24,2026-07-08,,150,Overdue
LIB075,STU0087,Kritika Basak,BK099,Cyber Security Essentials,2026-03-29,2026-04-12,2026-05-09,270,Returned
LIB076,STU0087,Kritika Basak,BK015,Introduction to Basic Electrical Engineering,2026-03-14,2026-03-28,2026-07-21,500,Returned
LIB077,STU0088,Vihaan Nazareth,BK120,Deep Learning,2026-04-30,2026-05-14,2026-05-26,120,Returned
LIB078,STU0088,Vihaan Nazareth,BK005,Physics Concepts,2026-03-09,2026-03-23,,500,Overdue
LIB079,STU0089,Chandresh Rastogi,BK184,Fundamentals of Entrepreneurship,2026-04-20,2026-05-04,2026-07-03,500,Returned
LIB080,STU0089,Chandresh Rastogi,BK039,Python Programming Concepts,2026-03-04,2026-03-18,2026-05-30,500,Returned
LIB081,STU0089,Chandresh Rastogi,BK207,Strategic Management,2026-04-07,2026-04-21,2026-04-07,0,Returned
LIB082,STU0090,Zaitra Bakshi,BK068,Design & Analysis of Algorithms,2026-05-03,2026-05-17,2026-06-17,310,Returned
LIB083,STU0095,Gautami Yohannan,BK032,Digital Electronics Essentials,2026-03-29,2026-04-12,2026-07-09,500,Returned
LIB084,STU0095,Gautami Yohannan,BK177,Introduction to Operations Management,2026-05-10,2026-05-24,2026-07-15,500,Returned
LIB085,STU0095,Gautami Yohannan,BK161,Business Statistics Essentials,2026-02-01,2026-02-15,2026-04-01,450,Returned
LIB086,STU0097,Bhavika Sampath,BK088,Compiler Design,2026-05-20,2026-06-03,2026-06-07,40,Returned
LIB087,STU0097,Bhavika Sampath,BK060,Fundamentals of Java Programming,2026-05-31,2026-06-14,2026-06-04,0,Returned
LIB088,STU0100,Darika Rastogi,BK199,Fundamentals of Business Ethics,2026-03-30,2026-04-13,,500,Overdue
LIB089,STU0100,Darika Rastogi,BK159,Business Law Essentials,2026-02-16,2026-03-02,,500,Overdue
LIB090,STU0100,Darika Rastogi,BK045,Operating Systems Concepts,2026-04-28,2026-05-12,,500,Overdue
LIB091,STU0106,Mason Ratta,BK127,DevOps,2026-06-22,2026-07-06,2026-07-10,40,Returned
LIB092,STU0106,Mason Ratta,BK209,Advanced Supply Chain Management,2026-04-01,2026-04-15,2026-05-31,460,Returned
LIB093,STU0116,Zansi Rastogi,BK107,Advanced Big Data Analytics,2026-03-02,2026-03-16,2026-03-02,0,Returned
LIB094,STU0117,Joshua D’Alia,BK163,Business Statistics Concepts,2026-02-08,2026-02-22,2026-04-17,500,Returned
LIB095,STU0117,Joshua D’Alia,BK113,Fundamentals of IoT,2026-05-31,2026-06-14,2026-07-02,180,Returned
LIB096,STU0126,Upasna Pradhan,BK151,Introduction to Marketing Management,2026-02-13,2026-02-27,2026-04-04,360,Returned
LIB097,STU0126,Upasna Pradhan,BK072,Fundamentals of Web Technologies,2026-03-11,2026-03-25,2026-05-23,500,Returned
LIB098,STU0126,Upasna Pradhan,BK051,Fundamentals of Computer Networks,2026-03-27,2026-04-10,2026-06-27,500,Returned
LIB099,STU0127,Karan Chakraborty,BK097,Advanced Cyber Security,2026-04-06,2026-04-20,2026-06-24,500,Returned
LIB100,STU0127,Karan Chakraborty,BK237,Business Statistics Concepts,2026-05-22,2026-06-05,2026-06-08,30,Returned
LIB101,STU0128,Farhan Jain,BK133,Financial Accounting Concepts,2026-03-03,2026-03-17,,500,Overdue
LIB102,STU0128,Farhan Jain,BK101,Artificial Intelligence,2026-05-18,2026-06-01,2026-07-15,440,Returned
LIB103,STU0128,Farhan Jain,BK249,HR Management,2026-03-15,2026-03-29,2026-06-05,500,Returned
LIB104,STU0130,Aradhana Talwar,BK108,Big Data Analytics,2026-03-05,2026-03-19,2026-05-08,500,Returned
LIB105,STU0130,Aradhana Talwar,BK203,Introduction to E-Commerce,2026-03-31,2026-04-14,2026-05-19,350,Returned
LIB106,STU0133,David Setty,BK173,Financial Management Essentials,2026-02-21,2026-03-07,2026-06-14,500,Returned
LIB107,STU0133,David Setty,BK197,Business Ethics Essentials,2026-01-28,2026-02-11,2026-03-24,410,Returned
LIB108,STU0133,David Setty,BK216,Business Analytics Concepts,2026-02-15,2026-03-01,2026-07-08,500,Returned
LIB109,STU0134,Isaiah Korpal,BK239,Advanced Business Statistics,2026-05-06,2026-05-20,2026-05-11,0,Returned
LIB110,STU0134,Isaiah Korpal,BK029,Digital Electronics Concepts,2026-05-27,2026-06-10,2026-07-21,410,Returned
LIB111,STU0134,Isaiah Korpal,BK237,Business Statistics Concepts,2026-05-13,2026-05-27,2026-07-13,470,Returned
LIB112,STU0136,Nimrat Bora,BK155,Organizational Behaviour Essentials,2026-03-06,2026-03-20,2026-06-30,500,Returned
LIB113,STU0143,Amara Goel,BK188,Research Methodology Essentials,2026-06-11,2026-06-25,2026-07-09,140,Returned
LIB114,STU0143,Amara Goel,BK216,Business Analytics Concepts,2026-04-30,2026-05-14,2026-06-01,180,Returned
LIB115,STU0143,Amara Goel,BK149,Fundamentals of Marketing Management,2026-05-05,2026-05-19,2026-07-08,500,Returned
LIB116,STU0147,Tristan Garg,BK166,Introduction to Environmental Studies,2026-03-06,2026-03-20,2026-03-15,0,Returned
LIB117,STU0147,Tristan Garg,BK194,Fundamentals of International Business,2026-05-13,2026-05-27,2026-06-23,270,Returned
LIB118,STU0149,Watika Sane,BK122,Blockchain Concepts,2026-05-14,2026-05-28,2026-07-22,500,Returned
LIB119,STU0149,Watika Sane,BK071,Introduction to Web Technologies,2026-03-06,2026-03-20,2026-05-04,450,Returned
LIB120,STU0151,Ansh Agarwal,BK230,Advanced Organizational Behaviour,2026-03-09,2026-03-23,2026-03-30,70,Returned
LIB121,STU0158,Inaya Sidhu,BK120,Deep Learning,2026-04-28,2026-05-12,2026-06-05,240,Returned
LIB122,STU0159,Vedhika Sawhney,BK062,Introduction to Software Engineering,2026-03-17,2026-03-31,,500,Overdue
LIB123,STU0160,Arjun Tella,BK088,Compiler Design,2026-06-13,2026-06-27,2026-07-11,140,Returned
LIB124,STU0161,Krishna Menon,BK178,Operations Management Essentials,2026-04-21,2026-05-05,,500,Overdue
LIB125,STU0161,Krishna Menon,BK051,Fundamentals of Computer Networks,2026-04-19,2026-05-03,2026-06-20,480,Returned
LIB126,STU0161,Krishna Menon,BK171,Advanced Human Resource Management,2026-03-29,2026-04-12,2026-05-03,210,Returned
LIB127,STU0170,Xiti Krish,BK162,Introduction to Business Statistics,2026-03-05,2026-03-19,2026-04-04,160,Returned
LIB128,STU0175,Kiaan Dua,BK012,Fundamentals of Programming for Problem Solving,2026-02-09,2026-02-23,2026-05-05,500,Returned
LIB129,STU0176,Gayathri Nagi,BK149,Fundamentals of Marketing Management,2026-02-11,2026-02-25,2026-06-24,500,Returned
LIB130,STU0178,Kai Sama,BK050,Computer Networks Essentials,2026-03-28,2026-04-11,2026-06-09,500,Returned
LIB131,STU0178,Kai Sama,BK106,Big Data Analytics Concepts,2026-04-20,2026-05-04,2026-05-02,0,Returned
LIB132,STU0179,Chaman Nagar,BK246,Operations Management Concepts,2026-02-09,2026-02-23,2026-06-27,500,Returned
LIB133,STU0179,Chaman Nagar,BK264,Advanced Strategic Management,2026-01-25,2026-02-08,2026-02-01,0,Returned
LIB134,STU0180,Charan Nori,BK205,Strategic Management Essentials,2026-07-01,2026-07-15,2026-07-11,0,Returned
LIB135,STU0180,Charan Nori,BK262,Introduction to Strategic Management,2026-05-10,2026-05-24,2026-07-17,500,Returned
LIB136,STU0180,Charan Nori,BK089,Computer Graphics Essentials,2026-05-18,2026-06-01,,500,Overdue
LIB137,STU0183,Hritik Bhatti,BK135,Advanced Financial Accounting,2026-02-16,2026-03-02,2026-07-15,500,Returned
LIB138,STU0194,Luke Kaur,BK133,Financial Accounting Concepts,2026-05-03,2026-05-17,2026-07-18,500,Returned
LIB139,STU0194,Luke Kaur,BK236,Marketing Management,2026-03-29,2026-04-12,2026-05-25,430,Returned
LIB140,STU0194,Luke Kaur,BK022,Mathematics-II,2026-02-22,2026-03-08,2026-06-18,500,Returned
LIB141,STU0195,Balendra Garg,BK062,Introduction to Software Engineering,2026-06-18,2026-07-02,2026-06-20,0,Returned
LIB142,STU0197,Jackson Chokshi,BK007,Introduction to Physics,2026-05-20,2026-06-03,2026-07-08,350,Returned
LIB143,STU0202,Yauvani Bumb,BK048,Operating Systems Essentials,2026-03-23,2026-04-06,2026-07-07,500,Returned
LIB144,STU0204,Pushti Dugar,BK246,Operations Management Concepts,2026-05-16,2026-05-30,2026-07-02,330,Returned
LIB145,STU0205,Faqid Chhabra,BK262,Introduction to Strategic Management,2026-04-14,2026-04-28,2026-06-16,490,Returned
LIB146,STU0206,Ekansh Prabhakar,BK094,Cloud Computing Essentials,2026-04-21,2026-05-05,2026-07-20,500,Returned
LIB147,STU0206,Ekansh Prabhakar,BK159,Business Law Essentials,2026-05-30,2026-06-13,2026-07-10,270,Returned
LIB148,STU0206,Ekansh Prabhakar,BK093,Cloud Computing Concepts,2026-02-05,2026-02-19,2026-04-09,490,Returned
LIB149,STU0208,Panini Mitter,BK245,Advanced Operations Management,2026-06-18,2026-07-02,2026-07-02,0,Returned
LIB150,STU0208,Panini Mitter,BK179,Operations Management Concepts,2026-03-15,2026-03-29,,500,Overdue
LIB151,STU0209,Fiyaz Padmanabhan,BK239,Advanced Business Statistics,2026-03-10,2026-03-24,2026-04-17,240,Returned
LIB152,STU0212,Pushti Dugar,BK222,Introduction to Managerial Economics,2026-06-10,2026-06-24,2026-06-27,30,Returned
LIB153,STU0213,Jagvi Deo,BK054,Discrete Mathematics,2026-02-22,2026-03-08,2026-06-11,500,Returned
LIB154,STU0214,Maya Dara,BK122,Blockchain Concepts,2026-06-29,2026-07-13,2026-07-08,0,Returned
LIB155,STU0214,Maya Dara,BK016,Fundamentals of Basic Electrical Engineering,2026-05-16,2026-05-30,2026-06-01,20,Returned
LIB156,STU0214,Maya Dara,BK004,Introduction to Mathematics-I,2026-04-01,2026-04-15,2026-07-14,500,Returned
LIB157,STU0221,Aadi Narula,BK216,Business Analytics Concepts,2026-02-05,2026-02-19,2026-04-23,500,Returned
LIB158,STU0221,Aadi Narula,BK208,Strategic Management Concepts,2026-03-31,2026-04-14,2026-04-12,0,Returned
LIB159,STU0223,Sachi Narasimhan,BK157,Fundamentals of Business Law,2026-03-27,2026-04-10,,500,Overdue
LIB160,STU0223,Sachi Narasimhan,BK038,Advanced Python Programming,2026-05-11,2026-05-25,2026-05-18,0,Returned
LIB161,STU0223,Sachi Narasimhan,BK019,English Communication Essentials,2026-03-09,2026-03-23,2026-06-02,500,Returned
LIB162,STU0224,Sathvik Kar,BK027,Data Structures Essentials,2026-06-06,2026-06-20,2026-07-06,160,Returned
LIB163,STU0230,Sathvik Mannan,BK024,Mathematics-II Essentials,2026-03-23,2026-04-06,,500,Overdue
LIB164,STU0233,Ridhi Majumdar,BK155,Organizational Behaviour Essentials,2026-03-22,2026-04-05,,500,Overdue
LIB165,STU0233,Ridhi Majumdar,BK158,Business Law Concepts,2026-02-03,2026-02-17,2026-05-07,500,Returned
LIB166,STU0233,Ridhi Majumdar,BK263,Strategic Management Essentials,2026-02-25,2026-03-11,2026-07-17,500,Returned
LIB167,STU0244,Anvi Talwar,BK246,Operations Management Concepts,2026-05-08,2026-05-22,2026-07-08,470,Returned
LIB168,STU0244,Anvi Talwar,BK172,Human Resource Management Concepts,2026-01-29,2026-02-12,,500,Overdue
LIB169,STU0244,Anvi Talwar,BK163,Business Statistics Concepts,2026-06-07,2026-06-21,,320,Overdue
LIB170,STU0246,Forum Mukherjee,BK031,Introduction to Digital Electronics,2026-02-17,2026-03-03,2026-06-06,500,Returned
LIB171,STU0246,Forum Mukherjee,BK083,Machine Learning Essentials,2026-03-04,2026-03-18,2026-04-24,370,Returned
LIB172,STU0246,Forum Mukherjee,BK232,Organizational Behaviour,2026-02-24,2026-03-10,2026-05-31,500,Returned
LIB173,STU0247,Onveer Singh,BK210,Introduction to Supply Chain Management,2026-05-27,2026-06-10,2026-06-15,50,Returned
LIB174,STU0247,Onveer Singh,BK187,Introduction to Research Methodology,2026-02-21,2026-03-07,2026-06-17,500,Returned
LIB175,STU0247,Onveer Singh,BK141,Business Mathematics,2026-01-27,2026-02-10,2026-03-25,430,Returned
LIB176,STU0251,Zashil Manne,BK135,Advanced Financial Accounting,2026-05-02,2026-05-16,2026-05-06,0,Returned
LIB177,STU0253,Omkaar Sehgal,BK234,Marketing Management Concepts,2026-06-07,2026-06-21,2026-07-21,300,Returned
LIB178,STU0253,Omkaar Sehgal,BK188,Research Methodology Essentials,2026-03-15,2026-03-29,2026-06-01,500,Returned
LIB179,STU0253,Omkaar Sehgal,BK150,Advanced Marketing Management,2026-02-12,2026-02-26,2026-02-24,0,Returned
LIB180,STU0256,Hitesh Sarkar,BK168,Fundamentals of Environmental Studies,2026-01-27,2026-02-10,2026-04-17,500,Returned
LIB181,STU0256,Hitesh Sarkar,BK222,Introduction to Managerial Economics,2026-05-28,2026-06-11,2026-06-02,0,Returned
LIB182,STU0258,Yug Goel,BK258,Fundamentals of Business Communication,2026-04-26,2026-05-10,2026-06-11,320,Returned
LIB183,STU0258,Yug Goel,BK012,Fundamentals of Programming for Problem Solving,2026-03-26,2026-04-09,2026-06-09,500,Returned
LIB184,STU0259,Zansi Naidu,BK249,HR Management,2026-07-01,2026-07-15,2026-07-03,0,Returned
LIB185,STU0259,Zansi Naidu,BK172,Human Resource Management Concepts,2026-03-18,2026-04-01,2026-05-14,430,Returned
LIB186,STU0260,Idika Bhagat,BK256,Business Analytics,2026-05-19,2026-06-02,2026-06-30,280,Returned
LIB187,STU0260,Idika Bhagat,BK192,Consumer Behaviour Essentials,2026-03-11,2026-03-25,2026-07-07,500,Returned
LIB188,STU0261,Madhavi Talwar,BK161,Business Statistics Essentials,2026-01-31,2026-02-14,2026-05-22,500,Returned
LIB189,STU0261,Madhavi Talwar,BK070,Web Technologies Concepts,2026-06-11,2026-06-25,2026-07-10,150,Returned
LIB190,STU0261,Madhavi Talwar,BK032,Digital Electronics Essentials,2026-04-22,2026-05-06,,500,Overdue
LIB191,STU0262,Oviya Chahal,BK118,Introduction to Deep Learning,2026-01-25,2026-02-08,2026-06-22,500,Returned
LIB192,STU0265,Osha Sehgal,BK253,Introduction to Business Analytics,2026-03-05,2026-03-19,,500,Overdue
LIB193,STU0265,Osha Sehgal,BK235,Marketing Management Essentials,2026-01-24,2026-02-07,2026-03-28,490,Returned
LIB194,STU0265,Osha Sehgal,BK150,Advanced Marketing Management,2026-01-30,2026-02-13,2026-05-06,500,Returned
LIB195,STU0266,Vasana Uppal,BK161,Business Statistics Essentials,2026-02-28,2026-03-14,2026-04-23,400,Returned
LIB196,STU0266,Vasana Uppal,BK236,Marketing Management,2026-03-21,2026-04-04,2026-04-04,0,Returned
LIB197,STU0266,Vasana Uppal,BK076,Advanced Microprocessors,2026-01-30,2026-02-13,2026-07-08,500,Returned
LIB198,STU0270,Gauri Bajaj,BK001,Mathematics-I Concepts,2026-05-14,2026-05-28,2026-06-12,150,Returned
LIB199,STU0270,Gauri Bajaj,BK018,English Communication,2026-06-05,2026-06-19,2026-06-08,0,Returned
LIB200,STU0270,Gauri Bajaj,BK098,Introduction to Cyber Security,2026-02-05,2026-02-19,,500,Overdue
LIB201,STU0272,Dhruv Mane,BK175,Introduction to Financial Management,2026-06-20,2026-07-04,2026-06-30,0,Returned
LIB202,STU0279,Abhimanyu Raj,BK265,Advanced International Business,2026-01-26,2026-02-09,2026-03-02,210,Returned
LIB203,STU0279,Abhimanyu Raj,BK010,Programming for Problem Solving,2026-03-04,2026-03-18,2026-05-10,500,Returned
LIB204,STU0279,Abhimanyu Raj,BK131,Business Communication,2026-01-26,2026-02-09,2026-06-07,500,Returned
LIB205,STU0282,Yashodhara Kalita,BK027,Data Structures Essentials,2026-04-12,2026-04-26,2026-04-29,30,Returned
LIB206,STU0282,Yashodhara Kalita,BK120,Deep Learning,2026-03-04,2026-03-18,2026-06-28,500,Returned
LIB207,STU0282,Yashodhara Kalita,BK124,Advanced Blockchain,2026-05-03,2026-05-17,,500,Overdue
LIB208,STU0284,Arunima Sachdeva,BK038,Advanced Python Programming,2026-07-01,2026-07-15,2026-07-21,60,Returned
LIB209,STU0284,Arunima Sachdeva,BK154,Organizational Behaviour Concepts,2026-02-26,2026-03-12,2026-06-15,500,Returned
LIB210,STU0287,Darpan Lad,BK164,Advanced Business Statistics,2026-04-10,2026-04-24,2026-05-13,190,Returned
LIB211,STU0287,Darpan Lad,BK114,Introduction to IoT,2026-01-28,2026-02-11,2026-05-14,500,Returned
LIB212,STU0287,Darpan Lad,BK042,DBMS Essentials,2026-06-30,2026-07-14,2026-07-12,0,Returned
LIB213,STU0288,Ojas Devan,BK014,Advanced Basic Electrical Engineering,2026-05-24,2026-06-07,,460,Overdue
LIB214,STU0288,Ojas Devan,BK177,Introduction to Operations Management,2026-02-19,2026-03-05,2026-06-14,500,Returned
LIB215,STU0291,Tristan Thaman,BK177,Introduction to Operations Management,2026-06-30,2026-07-14,2026-07-22,80,Returned
LIB216,STU0298,Ekaja Trivedi,BK129,Fundamentals of Business Communication,2026-04-20,2026-05-04,2026-04-29,0,Returned
LIB217,STU0298,Ekaja Trivedi,BK064,Software Engineering Concepts,2026-03-07,2026-03-21,2026-05-17,500,Returned
LIB218,STU0298,Ekaja Trivedi,BK255,Advanced Business Analytics,2026-06-18,2026-07-02,,210,Overdue
LIB219,STU0299,Nirja Comar,BK141,Business Mathematics,2026-02-21,2026-03-07,2026-04-21,450,Returned
LIB220,STU0300,Utkarsh Lal,BK181,Advanced Entrepreneurship,2026-02-11,2026-02-25,,500,Overdue
LIB221,STU0310,Anamika Narayan,BK259,Advanced Business Communication,2026-04-14,2026-04-28,2026-05-10,120,Returned
LIB222,STU0310,Anamika Narayan,BK205,Strategic Management Essentials,2026-05-13,2026-05-27,2026-06-10,140,Returned
LIB223,STU0311,Riya Sarkar,BK172,Human Resource Management Concepts,2026-06-24,2026-07-08,,150,Overdue
LIB224,STU0315,Mitali Grewal,BK048,Operating Systems Essentials,2026-03-28,2026-04-11,2026-04-26,150,Returned
LIB225,STU0315,Mitali Grewal,BK057,Introduction to Java Programming,2026-01-26,2026-02-09,2026-04-17,500,Returned
LIB226,STU0315,Mitali Grewal,BK110,Advanced Mobile Computing,2026-03-14,2026-03-28,2026-04-16,190,Returned
LIB227,STU0319,Vritti Sha,BK186,Research Methodology Concepts,2026-05-06,2026-05-20,2026-07-11,500,Returned
LIB228,STU0319,Vritti Sha,BK246,Operations Management Concepts,2026-05-11,2026-05-25,2026-06-02,80,Returned
LIB229,STU0321,Chandran Chowdhury,BK214,Business Analytics,2026-06-01,2026-06-15,2026-06-02,0,Returned
